Name,Restaurant ID,Rating,Address,Cuisine,Cost for Two
Koshe Kosha Kolkata,18162689,3.9,"126, Raja S.C Mallick Road, Jadavpur, Kolkata, Near KPC Hospital",Bengali,650
Koshe Kosha Kolkata,18249151,3.6,"12, Mondal Para 1st Lane, James Long Sarani, Behala, Kolkata, Near M.P. Birla High School,",Bengali,650
Koshe Kosha Kolkata,18431456,4,"3A, Ground Floor, Hare Street, Below Bank Of India, Dalhousie BBD Bagh, Kolkata",Bengali,650
Koshe Kosha Kolkata,18730270,3.1,"A1, Sammilani Park, Rajapur East, Near Apex Hospital Highland Park.  Beside Anis Motor Garage.",Bengali,650
Koshe Kosha Kolkata,20702,3.6,"152/1, Bidhan Sarani, Hatibagan, Kolkata, Near Rupbani Cinema",Bengali,650
Koshe Kosha Kolkata,21669,4,"62, Ballygunge Gardens, , Golpark, Kolkata, Near Golpark Post Office",Bengali,650
Koshe Kosha Kolkata,23642,3.7,"Gr. Floor, FE-18, Sector-III, Salt Lake, Kolkata, Opposite of Central Park Gate No.-2",Bengali,650
Koshe Kosha Kolkata,24471,3.8,"AS/234/2-04, Chinarpark, Near Kuchina Building, Chinar Park, Kolkata",Bengali,650
Koshe Kosha Kolkata,24923,4.1,"1/1C, Ripon Street, Muzzafar Ahmed Street, Park Street Area, Kolkata, Near Free School Street",Bengali,650
Kouzina Marine Kolkata,18777320,NEW,"BD 29, Sector 1, Salt Lake, Kolkata","North Indian, Asian, Continental, Italian","1,600"
Kouzina Mining Co. Kolkata,18568762,4.7,"AD - 79, Sector 1, Salt Lake City, Kolkata","North Indian, Chinese, Continental","1,500"
Kowloon Kolkata,20307,3.5,"Block M, P504, New Alipore, Kolkata",Chinese,500
Krafty Chocolates Kolkata,18619221,3.3,"Kendua Main Road, Near 45 Bus Stand, Baishnabghata - Patuli Connector",Desserts,200
Krakatoa Kolkata,18639406,3.8,"12, Mondal Para 1st Lane, 1st Floor, Behala, Kolkata",Asian,800
Krazy Biryani Kolkata,25597,3.8,"63/A, Prince Golam Hossain Shah Road, Poddar Nagar 2, Jadavpur, Kolkata","Biryani, Chinese",650
Krazy For Chocolates Kolkata,18414419,4,"Ground Floor, City Centre 2 Mall, Chinar Park, Kolkata","Bakery, Desserts",250
Krazy for Chocolates Howrah,18143264,3.7,"Ground Floor, Avani Riverside Mall, 32, Jagat Banerjee Ghat Road, Shibpur, Howrah","Bakery, Desserts",250
Krazy for Chocolates Howrah,18287260,3.6,"42, Dobson Road, Howrah","Bakery, Desserts",250
Krazy for Chocolates Kolkata,18249146,4.3,"3rd Floor, Acropolis Mall, 1858/1, Rajdanga Main Road, Kasba, Kolkata","Bakery, Desserts",250
Krazy for Chocolates Kolkata,18577022,3.4,"1/20, Bangur Avenue, Block B, Bangur, Kolkata","Bakery, Desserts",250
Krazy for Chocolates Kolkata,21441,4.2,"4th Floor, Forum Mall, 10/3, Elgin Road, Elgin, Kolkata","Bakery, Desserts",250
Krazy for Chocolates Kolkata,21896,4.1,"The Regency, 6, Hungerford Street, Minto Park, Kolkata","Bakery, Desserts",250
