Name,Restaurant ID,Rating,Address,Cuisine,Cost for Two
0 Degree Kolkata,18382915,2.9,"Saha Bagan, Rajarhat Road, Near New Life Nursing Home, Jyangra Chowmatha, Baguihati, Kolkata","Cafe, Fast Food",300
033 Kolkata,18724181,4.1,"23/44 Gariahat Road, Golpark, Near South City College Gariahat, Kolkata","Thai, Italian, Asian, American, Chinese, Cafe",500
10 Downing Street Kolkata,18296364,4.3,"Ground Floor, Plot G2, Block GP, PS Srijan Corporate Park, Sector 5, Salt Lake","North Indian, Chinese, Continental","1,600"
100% Game Cafe Kolkata,18607727,3.3,"209, AJC Bose Road, Park Circus Area, Kolkata","Continental, Fast Food, Beverages, Chinese, Cafe, Kebab, Pizza, Italian",800
100% Veggie Kolkata,18615203,3.2,"134, Regent Colony, Tollygunge, Kolkata","Chinese, Fast Food, North Indian, South Indian",400
100Mt.Park Street Kolkata,18718055,4.6,"55a Mirza Ghalib Street, New Market Area, Kolkata 16. Ground Floor","Bengali, Indian, Chinese, Seafood",600
11 to 11 Tastebusterzz Kolkata,18420522,3.6,"68, 5th Floor, Diamond Plaza Mall, Nagerbazar, Kolkata","Continental, North Indian, Chinese",900
1st Floor Restaurant Kolkata,22397,2.6,"3, M.G. Road, Near 3A Bus Stand, Joka, Kolkata","Chinese, North Indian",500
1st One Sahi Biryani & Fast Food Corner Kolkata,18648525,2.9,"256, Dum Dum Road, Near Commerce College, Dum Dum, Kolkata","Biryani, North Indian, Fast Food",400
2 High Chefs Kolkata,18640335,2.9,"A-53/1 Bapuji Nagar, Near Raymond's Showroom, Jadavpur, Kolkata","Fast Food, North Indian, Chinese, Finger Food, Indian",350
2 Idiots Kolkata,18668964,-,"Gate 1, Unitech, New Town, Kolkata Rajarhat",Fast Food,150
21 Baker Street Kolkata,18657924,3.9,"11/1, Sultan Alam Road, Lake Market Area, Kolkata","Bakery, Desserts",700
24 Seven Howrah,18502671,3.3,"Alampur, Andul Road, Howrah, Kolkata","Bengali, Chinese, North Indian, Continental",800
25th Hour Kolkata,18821504,NEW,"3/47, Azadgarh, Tollygunge, Kolkata",North Indian,150
28A Rannaghar Kolkata,18639992,-,"28, Jodhpur Garden, Jodhpur Park, Kolkata",Bengali,250
3 Cheers Kolkata,18767251,3.6,"452, Main Road, Purbachal, Kalikapur, Kolkata","North Indian, Chinese",500
3 Idiot's Fried Chicken Kolkata,18602914,3.1,"83, Tarunsen Gupta Sarani Road, Dum Dum, Kolkata",Fast Food,300
3 Idiots Dhaba Kolkata,18782623,3,"207, Picnic Garden Road, Picnic Garden, Kolkata","North Indian, Chinese",300
3D Lounge Kolkata,18810425,NEW,"183A, CIT Road, Scheme-5, Kankurgachi, Kolkata","Chinese, Thai, Mexican, Italian",600
3S Restaurant Kolkata,18670910,-,"CE Block, Thadkari Main Road, New Town, Kolkata","Bengali, Chinese",350
4 Thali Kolkata,18773491,3.3,"Opposite Tata Consultancy Services, Geetanjali Park, New Town, Kolkata","North Indian, South Indian",300
47 South Tangra Road Kolkata,21815,3.8,"4th Floor, Axis Mall, Block CS, Major Arterial Road, New Town, Kolkata","Seafood, Cantonese, Chinese, Momos",800
"4B, Bakery Street Kolkata",18452227,3.7,"Madhab Chatterjee Street, Paddapukur, Kolkata","Bakery, American",500
6 Ballygunge Place - Gup Shup Kolkata,18166908,3.9,"3rd Floor, Acropolis Mall, 1858/1, Rajdanga Main Road, Kasba, Kolkata",Bengali,350
6 Ballygunge Place - Gup Shup Kolkata,18634403,3.6,"Food Court, Yum Street, Lake Mall, 104, Rashbehari Avenue, Lake Market Area,",Bengali,350
6 Ballygunge Place Kolkata,18675852,4.2,"Plot 101&104, Eco Suite Business Tower, New Town, Kolkata",Bengali,"1,000"
6 Ballygunge Place Kolkata,20002,4.4,"6, Ballygunge Place, Ballygunge, Kolkata",Bengali,"1,000"
6 Ballygunge Place Kolkata,21308,4.2,"DD 31A, Sector 1, Salt Lake",Bengali,"1,000"
6 Ballygunge Place Thali Kolkata,23357,4,"37/1, Rajdanga Main Road, Kasba, Kolkata",Bengali,500
6 Ballygunge Place Thali Kolkata,24670,3.8,"Podium Floor, Globsyn Crystal, EP & GP Block, Sector 5, Salt Lake",Bengali,500
7 Moghuls Kolkata,18647333,3,"Newtown Hangout Food Court Ecospace Ecovista Club Gate, Kolkata",North Indian,600
7 Point Alfaham Kolkata,18657254,-,"18/A, Syed Amir Ali Avenue, Ballygunge, Kolkata","Biryani, North Indian, Chinese",400
7 Point Alfaham Kolkata,18685454,-,"18 sayed Amir Ali Avenue, Park Circus Area, Kolkata","North Indian, Chinese",250
7 Star Haji Biryani Kolkata,18833645,NEW,"32A, Girish chandra bose road, Beside Entally Market, Entally, Kolkata","Bengali, Indian",400
7/12 Fried Ice Cream Parlour Howrah,18681569,3.5,"212 Girish Ghosh Road, Forum Rangoli Food Court, Belur, Howrah, Kolkata","Desserts, Ice Cream",300
7th Heaven Howrah,18813248,NEW,"1, Kshirode Ch. Ghosh Road (Watkins Lane), Dobson Road, Howrah","Cafe, Bakery",300
7th Heaven Kolkata,18725593,4.1,"BF-195 Near Swimming Pool, Sector 1, Salt Lake, Kolkata","Cafe, Bakery",300
7th Spice Howrah,18591299,-,"3rd Floor, Avani Riverside Mall, 32, Jagat Banerjee Ghat Road, Shibpur, Howrah",Lebanese,500
8th Day Cafe & Bakery Kolkata,18763518,3.7,"11, Jatin Bagchi Road, Opposite Vivekananda Park, Kolkata, Ballygunge, Kolkata","Cafe, Bakery",600
8th Day Cafe & Bakery Kolkata,24874,4.1,"Arcadia, 6, West Range, Mullick Bazar, Park Circus Area, Kolkata","Cafe, Bakery",600
9 Players Kolkata,18296365,2.5,"NSCB Airport, Near Terminal 2, Dum Dum, Kolkata","Chinese, North Indian","1,100"
99 Kombo Kolkata,18790201,NEW,"53, AQ Block, Mahishbathan, Sector 5, Salt Lake, Kolkata","Chinese, North Indian",400
99 Kombo Kolkata,18790400,NEW,"Bangalaxmi. Lebutalla Dashodron, Rajarhat Road, Kaikhali, Kolkata",,400
99 The Multicuisine Restaurant Kolkata,18564771,3.5,"Rajarhat Chowmatha, New Town, Kolkata","North Indian, Chinese, Mughlai, Momos",650
@49 Kolkata,18017618,4,"116, Vivekananda Road, Near YMCA Hostel, Maniktala, Kolkata","Thai, Chinese, North Indian",600
@49 Kolkata,18361665,3.5,"Madhyamgram Chowrasta, Barasat, Kolkata","North Indian, Chinese",600
A 1 Haji Fast Food Kolkata,23158,3.3,"95, Gopal Lal Tagore Street, Baranagar, Kolkata","Fast Food, Street Food, Rolls",250
A C Dining Hall- By Mission Cafe Kolkata,18520830,-,"20, Ganesh Chandra Avenue, Chandni Chowk, Kolkata","North Indian, South Indian, Fast Food",500
A Date With Me Kolkata,18718269,3.3,"138/4, N.S.C. Bose Road, Usha Gate, Naktala, Kolkata","Bengali, Continental, Chinese, Goan, North Indian",500
A Food Affair Kolkata,18720986,3,"34/4, NSC Bose Road, Tollygunge, Kolkata","Fast Food, Italian, Continental, Beverages",200
A Homebaker's Treat Kolkata,18416937,3.3,"Flat1/11A, West Wind, 78, Raja S.C. Mallick Road, Garia, Kolkata","Bakery, Desserts",300
A La Cart Kolkata,18748570,4.1,"Beside Bhawanipur College, LG Showroom. 4A, Lala Lajpat Rai Sarani, Elgin, Kolkata.",Desserts,150
A La Cart Kolkata,18781375,3.6,"Metro Plaza, 1, Ho Chi Minh Sarani, Midleton Row, Park Street Area, Kolkata",Desserts,150
A One Howrah,24759,3.2,"44, G.T. Road, Salkia, Howrah",Biryani,200
A Step Up Kolkata,21490,2.5,"2nd Floor, P188, C.I.T. Road, Ultadanga, Kolkata","Chinese, Fast Food",400
A Sweet Surrrender Kolkata,23254,4,"New Town, Kolkata","Bakery, Desserts",150
A&K's Kolkata,18665495,3.4,"12/4 Bhattacharjee Para Lane, Baranagar, Kolkata","American, North Indian",450
A-1 Taj Biryani House Kolkata,18134921,3.3,"57/76, N.S.C. Bose Road, Near Malancha Cinema Hall, Tollygunge, Kolkata",Biryani,200
A-1 Taj Biryani House Kolkata,24448,3.3,"57/76 N.S.C Bose Road, Tollygunge, Kolkata",Biryani,200
A-One Biryani Howrah,23995,2.9,"171, Andul Road, Howrah",Biryani,150
A-One Restaurant Howrah,22536,2.9,"21/1, G.T. Road, Near Howrah Maidan, Shibpur, Howrah",Biryani,200
A1 Food Court Kolkata,18369802,3,"26, Jessore Road, Nagerbazar, Kolkata","Biryani, Fast Food, Tibetan, North Indian, Chinese",250
A1 Haji Fast Food Centre Kolkata,18323157,3.2,"37, M.B Road, Birati, Near College More, Barasat, Kolkata","Biryani, Mughlai",350
A1 Haji Fast Food Centre Kolkata,18806536,NEW,"Kalamandir, BD, 62, Rabindrapally, Kestopur, Kolkata",Fast Food,250
A1 Haji Fast Food Centre Kolkata,22805,3.6,"83/76, Mullick Colony, Near Laxmi Narayan Mandir, Dum Dum, Kolkata","Biryani, Street Food, Rolls",300
A1 Haji Fast Food Centre Kolkata,25040,3.5,"HC1, Ashwini Nagar, Baguihati, Kolkata","Biryani, Street Food",300
A1 Haji Fast Food Centre Kolkata,25642,3.4,"13/A, Netaji Colony, B.T. Road, Tobin Road Crossing, Baranagar, Kolkata","Biryani, Street Food",300
A1 Haji Kolkata,18538980,3.3,"75/1, Feeder Rd (Near belghoria post office), Belghoria, Kolkata, West Bengal 700056, India","North Indian, Mughlai",300
A4 Foods Kolkata,18237048,3.7,"19A, Elgin, Kolkata Elgin","Bakery, Desserts",650
AB golden FRY Kolkata,18695152,3.2,"26, Black C, Baghajatin, Kolkata","American, Fast Food",500
ABCD & Caterers Kolkata,18617432,3,"Thakdari Main Road, Newtown Action Area 1C",Chinese,400
ACS Chinese Flavour Kolkata,21179,3.1,"8, Elliot Road, Near Loreto Day School, Wellesley, Kolkata",Chinese,300
ACT II Kolkata,18617486,3,"Fourth Floor, Axis Mall, Block CS, Major Arterial Road, New Town, Kolkata","Sandwich, Beverages",300
AD Chutney Fast Food Center Kolkata,18474224,2.7,"Dhalua Border Road, Near Netaji Subhash Engineering College, Garia, Kolkata","North Indian, Chinese",500
AFC - Awesome Food Corner Kolkata,18574162,3.2,"109, Mukta Ram Babu Street, Girish Park, Kolkata",Fast Food,300
AFC - Awesome Fried Chicken Kolkata,18680284,3.3,"8, Barrackpore Trunk Road, Ramkrishna Pally, Panihati, Sodepur, Kolkata",Fast Food,150
AFC Kolkata,18669000,2.9,"Shop A10, Opposite Unitech Gate One, New Town, Kolkata",Fast Food,150
AFC Kolkata,18777083,3.2,"24/3, Kusta Road, Topsia, Kolkata",Fast Food,200
AFC Kolkata,18778038,-,"49, Bidhan Sarani, Hatibagan, Kolkata",Street Food,200
AHFC Kolkata,18780879,3.2,"17/1/H/13, Bidhan Nagar Road, Ultadanga, Kolkata","Fast Food, Burger",350
ALT Kolkata,18692908,3.8,"AH 4, Near Kathgola Island, Sector 2, Salt Lake","Mexican, Continental",700
ATF- Any Time Food Kolkata,18524564,2.9,"125/1, Suncity The Barasat Mall, Jessor Road, Barasat, Kolkata",Fast Food,300
ATS Arun Dhaba Kolkata,22746,3.6,"27, Shakespeare Sarani, Outram Street, Theatre Road, Kolkata","North Indian, South Indian, Chinese",250
Aadab Restaurant Kolkata,18768687,3.1,"Opposite Subhas Maidan, Krishna Nagar Road, Colony Mor, North 24 Parganas, Barasat, Kolkata","North Indian, Kebab, Rolls",600
Aadarsh Biryani Kolkata,18674520,-,"163, D.H Road, Pathakpara, Behala, Kolkata","Biryani, North Indian",250
Aafgani Dhaba Kolkata,18793087,NEW,"E2, H B Town, Sodepur, Kolkata","North Indian, Chinese, Mughlai",400
Aafreen Restaurant Kolkata,18224077,3.5,"27, Rafi Ahmed Kidwai Road, Wellesley, Kolkata","North Indian, Mughlai, Chinese",600
Aafreen Restaurant Kolkata,21537,3.2,"R38, S.A. Farooqie Road, Akra Road, Metiabruz, Kidderpore, Kolkata","North Indian, Mughlai",350
Aafrin Biryani Kolkata,18624019,3.1,"54, Biren Roy Road, Bakultala, Behala, Kolkata",Biryani,300
Aafter 9 Kolkata,18648968,3.8,"91A, Raja Subodh Chandra Mallick Road, Ramgarh, Garia, Kolkata","Chinese, North Indian",700
Aahaar Kolkata,18765390,-,"3, Greek Church Row, Kalighat, Kolkata","North Indian, Bengali",600
Aahanas Kitchen Kolkata,18660738,-,"C 14, Brahmapur More, Near HDFC Bank, Tollygunge, Kolkata",North Indian,300
Aahar A Bahar Howrah,18716487,-,"95/2/1 Shibpur Road Shibpur, Howrah",Bengali,300
Aahar Caterer & Aahar Home Service Kolkata,18821916,NEW,"24, Vivekananda Sarani, Khardah, Kolkata","Bengali, North Indian",300
Aahar Fast Food Centre Kolkata,22438,2.9,"3A, Santosh Roy Road, Behala, Kolkata","Fast Food, Chinese, North Indian",300
Aahar Hotel & Restaurant Kolkata,22240,2.8,"AB 46, Prafulla Kanan, Kestopur, Kolkata",Chinese,300
Aahar Just Veg Kolkata,18801836,NEW,"76 Hem Chandra Naskar Road, Kankurgachi, Kolkata",Indian,250
Aahar Kitchen Kolkata,18601721,3.7,"Jyangra, Khelar Math, Opposite Loknath Motor Training, Baguihati, Kolkata","North Indian, Chinese, Rolls",200
Aahar Kolkata,18619820,3.1,"Nonachandanpukur Bazra, Barrackpore, Kolkata",Biryani,300
Aahar Kolkata,18753380,-,"Ananya Apartment, Ghoshpara, Near Naveen Sangha Club, Kaikhali, Kolkata","Chinese, North Indian",400
Aahar Kolkata,23502,3.3,"27C,Bose Pukur Road, Near New Kasba Police Station, Kasba, Kolkata","Bengali, Chinese",350
Aahar Restaurant Kolkata,18213988,3.6,"Shop no. 7,  EC Market, Sector 1, Salt Lake","North Indian, Chinese, Biryani",500
Aahar Restaurant Kolkata,18213997,2.7,"FD Park, Sector 3, Salt Lake","North Indian, Chinese, Biryani",500
Aahar Restaurant Kolkata,18281746,3.1,"9/1, Waterloo Street, Esplanade, Kolkata",North Indian,200
Aahar Restaurant Kolkata,22098,3.4,"16A, Mahatma Gandhi Road, Sealdah Area, Kolkata","Chinese, North Indian, Bengali",450
Aahar Restaurant Kolkata,24501,3.1,"57, Diamond Harbour Road, Near CMRI Hospitals, Kidderpore, Kolkata",North Indian,350
Aahar Roll & Chinese Kolkata,18213998,3.4,"Shop 61, EC Market, Sector 1, Salt Lake","North Indian, Chinese, Biryani",500
Aahar-E-Kolkata Kolkata,18784437,NEW,"D/26, Bapuji Nagar, Near Ekta Heights Building, Baghajatin, Kolkata","Bengali, Chinese",350
Aahare Baahar Kolkata,18539139,3.1,"95/1, Dr. N.G. Saha Road, Behala, Kolkata",Bengali,400
Aahare Bangla Howrah,18550527,2.7,"37/1/2,Kala Bagan Lane, Shibpur, Howrah",Bengali,300
Aaheli - The Peerless Inn Kolkata,21581,4.1,"The Peerless Inn Hotel, 12, Jawaharlal Nehru Road, Esplanade, Kolkata",Bengali,"2,000"
Aaheli Xpress Kolkata,18629781,3.8,"James Hickey Sarani, Chowringhee North, Bow Barracks, Dalhousie BBD Bagh, Kolkata",Bengali,500
Aaheli Xpress Kolkata,21574,3,"4th Floor, Axis Mall, 106, Block CS, Major Arterial Road, New Town, Kolkata",Bengali,"1,500"
Aaira Kolkata,24650,4.4,"1st Floor, The Myx, 20G, Near Loreto House, Park Street Area, Kolkata","North Indian, Mughlai","1,200"
Aajisai Kolkata,18632696,4.2,"5th Floor, Quest Mall, 33, Syed Ali Amir Avenue, Ballygunge, Kolkata","Japanese, Sushi","1,600"
Aakansha Restaurant Kolkata,22936,-,"9, Sarat Bose Road, Minto Park, Kolkata",North Indian,200
Aakash Caterer Kolkata,23436,2.5,R. N. Tagore road sodepur,"North Indian, Chinese, Biryani",300
Aala Kolkata,18557518,3.5,"17, Basant Bose Road, Near Ashutosh College, Hazra, Kolkata","Biryani, North Indian, Chinese",500
Aalamir Kolkata,21674,3.9,"184/1B, Lenin Sarani, Near Tipu Sultan Mosque, Esplanade, Kolkata",North Indian,300
Aalia Biryani Kolkata,18801504,NEW,"Shop No-49, Naya Patty, Nutun Bazar, Sector 5, Salt Lake, Kolkata",Biryani,250
Aalishan Restaurant Kolkata,18217462,3.5,"38, Bentinck Street, Near Paradise Cinema, Esplanade, Kolkata","North Indian, Fast Food",550
Aamar Bangla Kolkata,18526315,3.3,"AC 38, Prafulla Kanan, Kestopur, Kolkata","Bengali, Chinese, Afghani, North Indian",450
Aamar Kolkata Sobar Cafe Kolkata,18685103,3.7,"28J, Northern Avenue, Seven Tanks, Dum Dum, Kolkata","Chinese, Bengali",450
Aamar Rannaghar Kolkata,18794885,NEW,"38 Bipin Ganguly Road, Dum Dum, Kolkata","North Indian, Bengali, Chinese, Biryani",300
Aameen Foods Kolkata,18745219,-,"78, Broad Street, Ballygunge, Kolkata",Chinese,150
Aami Bangali Kitchen Kolkata,18673425,3.2,,"Bengali, Bangladeshi",450
Aami Bangali Kitchen Kolkata,18673507,3,,"Bengali, Bangladeshi",450
Aami Bangali Kolkata,18224029,3.5,"108, Santoshpur Avenue, Santoshpur, Kolkata","Bengali, Bangladeshi",450
Aami Bangali Kolkata,18354600,3.4,"104/1/3 ,Satyen Roy Road, James Long Sarani, Near Sree Sangha, Behala, Kolkata","Bengali, Bangladeshi",450
Aami Bangali Kolkata,18386787,3.8,"BA/3, Near PNB More, Sector 1, Salt Lake","Bengali, Bangladeshi",450
Aami Bangali Kolkata,18561999,3.6,"VIP Road, Near Baguiati Bus Stop, Beside ICICI Bank, Baguihati, Kolkata","Bengali, Bangladeshi",450
Aami Bangali Kolkata,18570868,3.5,"19/6, Mahatma Gandhi Road, Sealdah Area, Kolkata","Bengali, Bangladeshi",450
Aami Bangali Kolkata,18644144,3.4,"35B, Jessore Road, Rathtala, Barasat, Kolkata","Bengali, Bangladeshi",450
Aami Bangali Kolkata,18662980,3.7,"507/4 Jessore Road, Opposite Diamond Plaza Mall, Nagerbazar, Kolkata","Bengali, Bangladeshi",450
Aami Bangali Kolkata,18720969,3.2,"SDF Building, Ground Floor, Near Infinity building, Sector 5, Salt Lake, Kolkata","Bengali, Bangladeshi",450
Aami Bangali Kolkata,24913,3.7,"29/B, Bentinck Street, Near Orient Cinema, Esplanade, Kolkata","Bengali, Bangladeshi",450
Aangeethi Kolkata,18713507,3,"P-12, Akshoy House, CIT Road, Phoolbagan, Kankurgachi, Kolkata","North Indian, Rajasthani",400
Aanja Kolkata,18573802,3.7,"1, Ganguly Bagan Raja, S.C. Mallick Road, Jadavpur, Kolkata","Chinese, Tibetan, Momos",300
Aashirwad Kolkata,18833898,NEW,"34A, Amherst Row, Maniktala, Kolkata","Bengali, North Indian, Chinese",200
Aastha's Kolkata,18420391,3,"23/1, Binomi Naskar Road, Behala, Kolkata","Chinese, North Indian, Fast Food, Momos",500
Aatithya Kolkata,20755,3.3,"P 248, Block B, Lake Town, Kolkata","Chinese, Bengali",500
Aayaan Restaurant Kolkata,24067,3.2,"100, Ripon Street, Wellesley, Kolkata","Mughlai, North Indian",300
Abar Baithak Kolkata,24657,4.2,"282, Jodhpur Park, Kolkata",Cafe,550
Abar Khaboo Kolkata,18439471,3.6,"26/42, Dum Dum Road, Near Chira More, Paikpara, Kolkata","Biryani, Chinese",300
Abar Khaboo Kolkata,22355,2.8,"398, Rajdanga Gold Park, Kasba, Kolkata","Street Food, Chinese, North Indian",250
Abby's Kitchen Kolkata,18281754,3.6,"7A, Motijheel Avenue, Dum Dum, Kolkata","Chinese, Momos",450
Abcos Food Plaza Kolkata,20299,3.9,"IB 172, Behind Columbia Asia Hospital, Sector 3, Salt Lake","Bengali, Continental, North Indian, Chinese, Asian","1,000"
Abhilasha Fast Food Centre Kolkata,23072,3.1,"P21, Bikramgarh, Prince Anwar Shah Road, Kolkata","Street Food, Fast Food",250
Abhilasha Kolkata,18664259,-,"2nd Floor, 9, Pollock Street, Dalhousie BBD Bagh, Kolkata","Gujarati, Maharashtrian, Konkan",300
Abhilasha Kolkata,18664278,-,"44, Chakraberia Road, Bhawanipur, Kolkata","Gujarati, Maharashtrian, Konkan",300
Abhinaba Food Centre Kolkata,18683161,2.6,"29, CE Market, Sector 1, Salt Lake","Biryani, North Indian, Chinese",400
Abhinandan Kolkata,18679749,3.5,"23, Burtolla Street, Near Satyanarayan Park AC Market, Bara Bazar, Kolkata",North Indian,300
Abhiruchi Kolkata,18471913,3.5,"Shop 115, MB Road, Birati, Opposite Old Municipal Office, Barasat, Kolkata","Chinese, North Indian",400
Abhiskar Restaurant Kolkata,23558,2.8,"1, Himanshu Mohan Chakraborty Road, Bonhoogly, Baranagar, Kolkata","Bengali, Chinese, North Indian",300
Abinandan Caterer Kolkata,18853736,NEW,"Chowk Pachudia, Raja raat, New Town, Near New Town Police station, New Town, Kolkata","Biryani, North Indian",-
Abra Kebab - ra Howrah,18666735,-,"16, Girish Ghosh Road, Belur, Howrah","Fast Food, Chinese",150
Abs Sorisha Kolkata,18687809,-,"380, Near Sreebhumi SBI, Dakshin Dari Road, Lake Town, Kolkata","North Indian, Chinese",300
Adaab Hotel & Restaurant Kolkata,18134896,3.7,"E4, Lake View Park, Bonhoogly, Baranagar, Kolkata","North Indian, Chinese",700
Adam's Kabab Shop Kolkata,18238594,4.3,"60, Phears Lane, Bow Bazar, Kolkata",Mughlai,200
Adarsha Hindu Hotel Kolkata,18539067,3.3,"212, Rashbehari Avenue, Gariahat, Kolkata",Bengali,300
Adda Bites Kolkata,22854,3.5,"405, Rajdanga Main Road, Kasba, Kolkata","Chinese, Momos",550
Adda Cafe Kolkata,25179,3.1,"1/1, S.M. Ali Road, Barrackpore, Kolkata","Cafe, Fast Food, Beverages",350
Adda Kolkata,18569884,-,"519, Dum Dum, Kolkata",Fast Food,350
Adda O Baithak Kolkata,18622205,3.3,"Ramgarh Community Hall, Raipur Mandal Para Road, Ganguly Bagan, Jadavpur, Kolkata",Chinese,400
Addiction Kolkata,21855,3.6,"4th Floor, Axis Mall, Block CS, Major Arterial Road, New Town, Kolkata",Chinese,900
Adhya's Gourmet Kolkata,18270263,3.4,Tollygunge,"Bengali, Desserts, North Indian, Street Food",500
Adi Mahaprabhu Mistanna Bhander Kolkata,18162664,3.1,"9/10, Roynagar, Naskarpara, Bansdroni, Tollygunge, Kolkata",Mishti,100
Adi Malancha Kolkata,18570078,3.7,"Sikdar Bagan Street, Hatibagan, Kolkata",Bengali,150
Adi Sree Hari Mistanna Bhandar Kolkata,24591,3.4,"25A, Kali Temple Road, Near Kalighat Temple, Kalighat, Kolkata",Mishti,100
Adil Biryani Centre Kolkata,22833,3.4,"38, Shamsul Huda Road, Ballygunge, Kolkata",Biryani,150
Adiram's Kolkata,18440234,-,"6, Hemanta Basu Sarani, Chowringhee, Kolkata","Bakery, Mishti",100
Adiram's Kolkata,18447690,3.7,"184/3 Sodhpur Road, Madhyamgram, Sodepur, Kolkata","Bakery, Mishti",100
Adiram's Kolkata,18452204,3.2,"58/A/1 Jessore Road, Nagerbazar, Kolkata","Bakery, Mishti",100
Aditya Hindu Hotel Howrah,20776,3.4,"78/79, Hari Mohan Bose Road, Howrah Station Area, Howrah","Bengali, North Indian",200
Advieh Kolkata,24117,4.1,"Hotel Celesta, RAA 43/2, Baguihati, Kolkata Raghunathpur North, Baguihati","Indian, Chinese, Continental, Thai","1,300"
Afiaa Rolls Kolkata,18670971,3.6,"Opposite Gate 2, DLF Ericsson, Rajarhat, New Town, Kolkata",Rolls,150
Afiaa Rolls Kolkata,18671607,3.3,"Opposite TCS Gate 1, New Town, Kolkata",Rolls,150
Afra Tafri Kolkata,18471923,4.1,"9, Camac Street Area, Kolkata","Bengali, Continental, Asian, Italian, North Indian, Chinese","1,000"
Afraa Creperie Kolkata,22107,4.2,"Ground Floor, CII Building, Suresh Neotia Centre of Excellence for Leadership, City Center, Sector 1, Salt Lake","Cafe, Italian, Continental, Bakery, Desserts","1,000"
Afraa Deli Kolkata,18716708,3.8,"1858, Acropolis Mall, 3rd Floor, Rajdanga Main Road, Kasba, Kolkata","Cafe, Continental",900
Afraa Deli Kolkata,20657,4,"Ground Floor, Block G, City Centre 1, Sector 1, Salt Lake","Cafe, Continental, Fast Food, Desserts, Salad",900
Afraa Deli Kolkata,22113,3.9,"Ground Floor, City Centre 2 Mall, Chinar Park, Kolkata","Cafe, Continental, Italian, Bakery, Salad",900
Afraa Deli Kolkata,23787,3.7,"Ground Floor, Plot II/F/11, Block 3B, Ecospace Business Park, New Town, Kolkata","Cafe, Continental, Bakery, Salad",900
Afreen Biryani House Howrah,22683,2.8,"387, Belilious Road, Howrah Maidan Area, Howrah",Biryani,150
Afreen Biryani House Kolkata,18259657,3.5,"Mahatma Gandhi Road, Near 3A Bus Stand, Thakur Pukur, Kolkata",Biryani,200
Afza Kolkata,21425,3.8,"82, Jhowtala Road, Park Circus Area, Kolkata","North Indian, Chinese, Mughlai",400
Afzal Biryani & Fast Food Kolkata,24138,2.9,"10, Beliaghata Road, Near Bharat Petroleum, Beliaghata, Kolkata",Biryani,300
Agarwal Kitchen Kolkata,18431460,3.1,"FD-254, Near 11 Tank, Sector 3, Salt Lake",North Indian,200
Agarwal's Food Delivery Kolkata,18536701,3.6,"Ravindra Sarobar, Swiss Park, Tollygunge, Kolkata","North Indian, Rajasthani, Sandwich",300
Agarwal's Food Delivery Kolkata,18709540,2.7,"31/2 Sahapur Colony, Plot 113, New Alipore","North Indian, Rajasthani, Sandwich",300
Agarwal's Kitchen Kolkata,18754475,3.2,"AL 5, Sector 2, Salt Lake, Kolkata",North Indian,250
Agarwal's Pav Bhaji Kolkata,22457,3.9,"25A, Vardhaan Market, Camac Street Area, Kolkata","Street Food, Momos",150
Agarwal's Pav Bhaji Kolkata,23498,3.8,"180B, Mukhtaram Babu Street, Near Ram Mandir, Girish Park, Kolkata","Street Food, Momos",150
Agarwal's Pav Bhaji Kolkata,25096,3.6,"109, Mukta Ram Babu Street, Girish Park, Kolkata",Street Food,200
Agarwal's Veggies Kolkata,18755058,-,"2/37, Ashok Nagar, Tollygunge, Kolkata",North Indian,250
Agarwals Food Delivery Kolkata,18553379,3.3,"48/4, Sultan Alam Road, Lake Gardens, Kolkata",North Indian,400
Agnee - Vedic Village Spa Resort Kolkata,21616,3.4,"Vedic Village Spa Resort, Shikharpur, New Town, Kolkata","North Indian, Chinese","1,400"
Agomoni Kolkata,18440240,-,"36E, Mahanirban Road Hindustan Park, Kolkata","North Indian, Bengali, Chinese",400
Ah Leung Kolkata,18631126,3.7,"119, Tangra, Kolkata",Chinese,300
Aha! Biryaani Kolkata,18728064,3.6,"68D NSC Bose Road, Tollygunge, Kolkata","Biryani, North Indian",200
Ahaar Restaurant Kolkata,18214000,3.1,"6, Near Airpot Gate 2, Kestopur, Kolkata",Chinese,500
Ahar Restaurant Kolkata,18678059,3.2,"Krishnapur Tarulia Main Road, Near Chanchal Kumari Baalika Vidhyalaya, Kestopur, Kolkata","Bengali, North Indian, Chinese",400
Ahare Bahare Kolkata,18411061,3,"78/1,Parthapur Bazar, Natagarh, Sodepur, Kolkata",Bengali,300
Ahare Bahare Kolkata,18567240,3.5,"139, Mazlish Ara Rd, Srishti, Sarada Pally, Kolkata","Bengali, Bangladeshi, South Indian, Chinese, Fast Food, Momos",500
Ahare Nola Kolkata,18799031,NEW,"Anandadeep Apartment, Ground Floor, Opposite Pragati Sanga, Barrackpore, Kolkata","North Indian, Chinese, Continental",250
Airport City Hotel Kolkata,25606,3.3,"259, Jessore Road, Dum Dum, Kolkata","North Indian, Chinese",500
Aisha Fast Food Centre Kolkata,23575,3,"6, Raja Rammohan Roy Road, Behala, Kolkata","North Indian, Chinese, Fast Food",200
Ajanta Hotel Kolkata,22026,3.6,"15C, Padda Pukur Road, Bhawanipur, Kolkata","North Indian, Fast Food",450
